title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,source,destination,airlines
"""has wider seat-TV screen""",10.0,Doug Dumpa,2018-07-25,"✅ Trip Verified |  Manila to Bangkok via Singapore. My first time to take a ride of this type of plane, the B787-10. It's spacious, has wider seat-TV screen, more legroom and a wider aisle that my cabin bag did not hit the arm chairs at any time.",Boeing 787-10,Business,Economy Class,Manila to Bangkok via Singapore,2018-06-01,5.0,5.0,4.0,4.0,5.0,5,yes,Manila,Bangkok ,singapore airlines
"""inflight meal was really premium""",10.0,G Lim,2018-07-23,"✅ Trip Verified |  Singapore to Beijing. Took this flight in Apr 2018, the aircraft was pretty new, spacious, I reserved the ""Book the cook"" service prior to departure, the inflight meal was really premium, especially the lobster with rice. The inflight entertainment system was perfect, the screen was big. Ground staffs were friendly, same as the cabin crews.",Boeing 777,Solo Leisure,Business Class,Singapore to Beijing,2018-04-01,5.0,5.0,5.0,5.0,5.0,5,yes,Singapore,Beijing,singapore airlines
"""A great experience""",10.0,Alan Coles,2018-07-20,"Not Verified |  My wife and I flew this route on May 1st to Singapore, and then Singapore to Christchurch on May 16th. Good flights, great crew, attentive, approachable, Meals great, drinks plentiful, alcoholic and juices, water, tea, coffee etc, A bit rough flying over Australia, captain had seat belt sign on several times, as well as announcements from cabin crew, Very safety conscience. Clean toilets, rubbish removed promptly. A great experience, would fly this top rating airline again.",Boeing 777-200,Couple Leisure,Economy Class,Christchurch  to Singapore Return,2018-05-01,4.0,5.0,5.0,4.0,5.0,5,yes,Christchurch ,Singapore Return,singapore airlines
"""did an excellent job""",8.0,Nilesh Bartlett,2018-07-05,"✅ Trip Verified |  Sydney to Singapore on SQ242, began with very helpful and friendly ground staff in Sydney. The flight was 20 minutes late but flying time made up for the delay and got us in early. Similarly, the 777 was very well maintained and the entertainment was remarkable. Dinner was not up to it's expected standard however the refreshment that was provided prior to landing was excellent and sufficient. The cabin staff did an excellent job and I particularly observed how they take very good care of toddlers.",Boeing 777-300ER,Business,Economy Class,Sydney to Singapore,2018-07-01,5.0,5.0,4.0,5.0,5.0,4,yes,Sydney,Singapore,singapore airlines
"""totally forgettable""",5.0,C Elander,2018-06-24,"✅ Trip Verified | Singapore to Bali. Singapore Airlines was disappointing. What happened to the ""Singapore Girl""? Outdated IFE, still using the remote control, poor screen quality and sound. No menu given before the meals nor aperitif proposed. Straight to the food, which was bland. There is wine on the cart but it is not proposed to passengers, one needs to ask for it. A lot of useless announcements from the attendants made this flight totally forgettable. They should shorten their flight safety announcement which, I believe, is one of the longest among carriers.",A330,Family Leisure,Economy Class,Singapore to Bali,2018-06-01,2.0,3.0,2.0,1.0,3.0,3,no,Singapore,Bali,singapore airlines
"""very friendly flight attendant""",7.0,T Nathan,2018-06-24,"✅ Trip Verified | SQ856 From Singapore to Hong Kong on the A380 with a flight delay for an hour due to airspace. Flight attendant did not serve Singapore Sling during the delay as not in the air. First time I heard this explanation. When I asked for coffee, the attendant retorted at me as there is turbulence. Flight attendant very impatient. For the flight back via SQ871 on the A330 very friendly flight attendant and pilot who welcome the whole passenger and enjoy his job. I enjoy the A330 services on the way back.",A380 / A330,Family Leisure,Economy Class,Singapore to Hong Kong,2018-06-01,5.0,3.0,5.0,5.0,3.0,5,yes,Singapore,Hong Kong,singapore airlines
"""a very good experience""",8.0,Davide Giordano,2018-06-08,"✅ Trip Verified |  Davao to Zurich via Singapore. I had an enjoyable experience with Silkair and later on with Singapore Airlines. The 1st leg of the flight was good. Boarding was on time as the departure was. After boarding newspapers were offered, but I refused to get one. After takeoff, the crew took a while to start with the service, but the meal was very tasty and the quantity was good. The legroom on the flight was superb due I was seated at the emergency exit. Unfortunately the IFE was only on overhead screens, so it was quite boring flight. After the layover in Singapore, the ground handling for the 2nd leg was very good and boarding commenced with only slight delay. The service on this flight began shortly after takeoff, but it was a bit rushed during late dinner was served, and I didn't get the dessert. But since it was an ample and tasty dinner, I didn't mind at all since it was already 2am as well. The selection on IFE was superb, but the flight information is a bit outdated, since it was a non-refurbished aircraft. After I called FA for a mid-term snack an ample snack was served. Shortly before arrival a very tasty breakfast was served less rushed than the dinner. Overall the FA's did a great job! The legroom on the 2nd leg was a lot more narrow, but still it was a good legroom. Landing in Zurich was on time. I had a very good experience with Silkair and Singapore airlines and I will recommend to fly with SIA!",Boeing 737-800/ A380-800,Solo Leisure,Economy Class,Davao to Zurich via Singapore,2018-06-01,4.0,4.0,4.0,3.0,5.0,4,yes,Davao,Zurich ,singapore airlines
"""minimal service by cabin crew""",6.0,William Gilbert,2018-06-07,"✅ Trip Verified | Singapore to Los Angeles via Incheon. The aircraft was clean and the seats were noticeably narrower than the PE seat on the Singapore A380. Again I was disappointed by the minimal service by the cabin crew. I had looked forward to my flights on Singapore Airlines and found them to be lacking in attention to their passengers. I would fly Singapore again, but I would not go out of my way to do so as I did this time. I doubt that I would spend the extra money to move up to Premium Economy.",Boeing 777,Solo Leisure,Premium Economy,Singapore to Los Angeles via Incheon,2018-05-01,3.0,3.0,3.0,4.0,3.0,3,yes,Singapore,Los Angeles ,singapore airlines
"""seating very tight and cramped""",8.0,Paul Imhof,2018-06-04,"✅ Trip Verified |  Singapore to Perth. This was the first time I used economy class after many years as I used business class for my business flights. I am a big fan of Singapore Airlines and a Solitaire PPS member with them, therefore it was an interesting experience to fly in economy again. Check in was fantastic as I was able to use the first class check in in Singapore which is a pleasant experience. Silver Kris first class lounge is in need of renovation as it is not in line with today’s standards of premium first class lounges. Boarding was on time and effortless, again as due to my status I was able to board first. Seating, the aircraft was an old 777-200 and the seating and equipment reflected this. Perhaps I was spoiled by flying business class but I found the seating very tight and cramped. The inflight entertainment was also very old and limited. I am aware that SIA is introducing the new B787 for the SIN to PER route, this change is well overdue. Another item is the the inflight duty free shipping, we have tried on 4 different flights to buy a certain perfume which is listed in their catalog but it was not available as well as other male colognes listed. There is no point of having a catalog on the plane when the items are not available. Cabin staff were doing a great job and well trained.",Boeing 777-200,Couple Leisure,Economy Class,Singapore to Perth,2018-06-01,2.0,5.0,3.0,2.0,5.0,3,yes,Singapore,Perth,singapore airlines
"""as expected of a 5-star airline""",10.0,J Chen,2018-06-03,"✅ Trip Verified |  Bangkok to Singapore return. Singapore Airlines is very dependable and the standards always high as is expected of a 5-star airline. The check-in counters are almost always free or have no more than one other guest in front of you. This is something I never take for granted and often a welcomed relief especially if I have travelled quite far to get to the airport. Knowing that check-ins can be done in under 5 mins from reaching the airport is an experience I've always looked forward to when flying with SQ, no matter which country I am in. The check-in staff are always pleasant and polite which sets the tone for the rest of the journey. The welcoming experience is often replicated at boarding when a senior cabin crew checks my boarding pass and welcomes me on board. SQ sets itself apart from the rest of the airlines by showcasing their best and possibly their most senior crew at the boarding area. The inflight entertainment offers an excellent selection of movies and shorter programmes. More importantly, Singapore Airlines allows passengers to use the inflight entertainment as soon as they are seated. The seat is slightly uncomfortable on the A330 in a full upright position but is fine once it can be reclined, even just slightly. They no longer places blankets in every seat for this route but they are available on request.",A330,Solo Leisure,Economy Class,Bangkok to Singapore,2018-05-01,4.0,5.0,5.0,5.0,5.0,5,yes,Bangkok,Singapore,singapore airlines
"""very modern and high quality""",8.0,Andrew Reid,2018-05-23,"✅ Trip Verified |  Melbourne to London return via Singapore, with A-350 on both MEL-SIN legs, A-80 on SIN-LHR and B-777-300ER on LHR-SIN. Early departure  from MEL and very efficient service. The A350 business class seat and fit-out is very modern and high quality. The A380 and B777 is a bit older but still good. Lie down bed takes a bit of getting used to for set-up and pack away, but once you've got the hang of it, it's great. Helps you to sleep much more than when sitting. Meals were very nice and enjoyed book the cook options. The flight attendants felt the need to wake me for meals, even when I had put the Do Not Disturb button on. Perhaps they could say at the start of the flight when meals are expected, or allow you to choose a time within a certain range? The IFE was excellent with a good choice of recent and older movies. I found the headsets pushed into my ears, which got a bit sore after a couple of hours. I wear glasses, so that might be the reason. Amenities were available in the bathroom, although I didn't realise this until the second leg. Perhaps they should announce it or tell you upon boarding, rather than leaving you to wait for a kit? Overall, very pleasant flights despite the length. On MEL-SIN-LHR, the flight arrived at Terminal 3 and departed Terminal 1, which was a bit disappointing for the national carrier's airport. I had gone to the lounge before realising my connecting flight was in a different terminal.",A350 / A380 / Boeing 777,Business,Business Class,Melbourne to London via Singapore,2018-05-01,4.0,4.0,4.0,5.0,4.0,3,yes,Melbourne,London ,singapore airlines
"""trip quite disappointing""",6.0,S Paribanar,2018-05-15,"✅ Trip Verified |  Wellington to Singapore. My trip was quite disappointing, the 777 aircraft are so old! The TV screen resolution is horrible. Entertainment options not the newest. The flight was delayed by almost 2 hours because of push back issues.  Service and food was just okay; nothing memorable.  With the high prices they charge, I don't think it's worth it, but I still love the brand.",Boeing 777-200,Couple Leisure,Economy Class,Wellington to Singapore,2018-02-01,4.0,3.0,3.0,3.0,4.0,2,no,Wellington,Singapore,singapore airlines
"""service and food  amazing""",9.0,Alexandre Lion,2018-05-09,"✅ Trip Verified |  Bangkok to Singapore. Wanted to try the regional business class available on the brand new Boeing 787-10. Feeling like a cocoon, it is very private, entertainment system is really great, enough space to store your book or headphones, seat is comfortable, without the Z on bed position which i think is a real improvement However, the only small negative point is that the seat is a bit narrow with small arms rest during take off and landing, you can push it down during the flight so not a real issue. Aircraft is great even if i was expected a more quiet environment, compared with the A350 for example. I didn't mention the service and the food which were amazing. Overall a great way to fly.",Boeing 787-10,Business,Business Class,Bangkok to Singapore,2018-04-01,5.0,5.0,5.0,5.0,5.0,5,yes,Bangkok,Singapore,singapore airlines
"""meal was hot and tasty""",9.0,Peter Dolman,2018-05-07,"✅ Trip Verified | Singapore to Perth. Departed from Changi airport Terminal 3. Check in was via self serve terminals - very easy. Followed by bag drop, due to a longish queue was redirected to another baggage drop area. Ground staff were eager to assist passengers. Check-in complete a quick process through security and immigration and into a shoppers paradise. Plenty to shop for and places to grab a coffee and a bite to eat. Boarding was orderly and quick again with lots of smiles and “welcome aboard”. Earphones were picked up as we boarded pillows and blankets already on the seats. Service commenced with a hot towel service followed by a bar service. I was drinking apple juice with ice. Shortly after the meal service commenced. The flight attendant noticed my empty glass an asked if I would like another apple juice with ice but she didn’t have ice on the meal trolley would I mind waiting a couple of minutes. I didn’t mind at all. And sure enough within a couple of minutes another flight attendant brought my drink - impressive and unexpected in economy class. The meal was hot and tasty and quite substantial. The seat, although not quite as comfortable as the A330 on the outbound flight, was fine and had good recline. After the meal trays were collected we were offered ice creams. On at least two more occasions my drink was replenished without asking even while I napped. Again a comfortable flight with excellent service. Singapore Airlines has always been the bench mark for service and they are working hard to maintain the high standard they have set.",Boeing 777,Solo Leisure,Economy Class,Singapore to Perth,2018-04-01,3.0,5.0,5.0,4.0,5.0,5,yes,Singapore,Perth,singapore airlines
"""same high standard""",8.0,Peter Dolman,2018-05-07,"✅ Trip Verified | Perth to Singapore. It has been a long time since I last flew SQ, I am pleased to say nothing has changed they are still the same high standard they were. Check in at Perth was fast. Boarding was by zones and very orderly and efficient, lots of happy smiles and “welcome aboard” from the cabin crew stationed throughout the aircraft. The aircraft was showing its age but was very clean and the seats were very comfortable, ample leg room (I am 6ft) and good recline. Seats were already prepared with blankets, pillows and headphones. Safety checks carried out a number of times prior to and during taxi. Shortly after take-off service commenced with hot towels followed by a very good breakfast. During this 5 hour flight the crew passed through the cabin at least 4 times with trays of water and juice. Inflight entertainment was excellent with plenty to watch and listen to.The only criticism of this flight was the cabin temperature, freezing, the blanket proved essential. That said all in all a very comfortable flight with great service.",A330,Solo Leisure,Economy Class,Perth to Singapore,2018-04-01,4.0,5.0,4.0,4.0,5.0,5,yes,Perth,Singapore,singapore airlines
"""a nice experience""",7.0,Junke Huang,2018-05-06,"✅ Trip Verified |  It's a nice experience to take Singapore Airline A380 from Hong Kong to Singapore. The ground staff in Hong Kong is not very nice but cabin crew are friendly. I order a seafood meal and taste good, however, as A380 is the largest aircraft  it takes long time to  board.",A380,Solo Leisure,Economy Class,Hong Kong to Singapore,2018-04-01,4.0,5.0,5.0,4.0,1.0,2,yes,Hong Kong,Singapore,singapore airlines
"""a very pleasant trip""",10.0,P Patawon,2018-05-02,"✅ Trip Verified |  Bangkok to Singapore return on the brand new Boeing 787-10. Check-in at both Suvarnabhumi and Changi was organized and the staff were courteous and professional. Boarding was organized by row number, with clear announcements made for each boarding group. The highlight for both flights was the cabin itself. The seat in Economy, although in the 3-3-3 configuration on the 787, was very spacious, with generous leg room and seat storage. All seat amenities, including a charging port, light switch, and crew call sign, were available on the seat back. The IFE screen was crisp and the system itself had so much quality content, including the newest movies. The system did lag slightly when exiting the navigation map. Catering and cabin crew service was consistent with that of other Asia's legacy carrier's standards. Service could have been a bit more personal, but with 301 seats in Economy for a 1.40hrs flight, the crew did an amazing job. Overall, a very pleasant trip and I look forward to flying with them whenever I can!",Boeing 787-10,Family Leisure,Economy Class,Bangkok to Singapore,2018-04-01,5.0,4.0,4.0,5.0,5.0,5,yes,Bangkok,Singapore,singapore airlines
"""Singapore Airlines were great""",8.0,Anthony Maplesden,2018-04-25,✅ Trip Verified |  Manchester to Auckland via Singapore. Very good flight but the seat got a little uncomfortable towards the end. Good legroom as I am a tall man and had around 3 inches to spare. Was able to have my legs straight when I wanted which makes a difference. I flew with Etihad from Auckland to Manchester and my knees rubbed the seat in front all the way. Singapore Airlines were great.,A350-900,Solo Leisure,Economy Class,Manchester to Auckland via Singapore,2018-04-01,4.0,5.0,4.0,4.0,4.0,4,yes,Manchester,Auckland ,singapore airlines
"""crews are pleasant and proactive""",8.0,Nuti Damrongphatr,2018-04-20,"✅ Trip Verified |  Bangkok to Singapore. Outgoing flight is quite ordinary. Head of the flight does not really possesses usual SQ pleasant personality. I was not addressed by name nor was shown to my seat. Menu was downgraded to one small thin piece of paper similar to economy class menu and wine/ cocktail choices are not listed. The retrofitted 777-200er business class seat is not comfortable at all. It give passenger good privacy, but for a short flight which does not require bed, I cannot find comfortable lounging position at all. Toilet are well stocked and very well taken care of. The return flight is better, same flimsy menu paper, same aircraft and same seat, but crews are pleasant and proactive. My lobster from “Book the cook” menu is very nice.",Boeing 777-200er,Solo Leisure,Business Class,Bangkok to Singapore,2018-04-01,2.0,3.0,5.0,4.0,5.0,4,yes,Bangkok,Singapore,singapore airlines
"""Legroom was reasonable""",8.0,Y Han,2018-04-15,"✅ Trip Verified |  Flew return from Singapore to Taipei. Flights were a very reasonable hour; early morning departing and early afternoon returning. The flight out was probably only 65% occupied, which contributed to the overall sense of wellbeing. Flight was on the A330 series, with 2-4-2 configuration. If travelling as a couple or pair, taking the window/aisle seats definitely gives you a sense of your own space, so this was a big plus. Legroom was reasonable. Service was up to the usual standards, although the most senior crew were sometimes a bit unsmiling. Food was average to good, depending on your choice, and the AVOD although not spanking new, was sufficient to entertain most for this 4 hour flight. The airplane is probably beginning to show it's age - it was a bit creaky and rattly on takeoff and landing, but everything is well maintained and perfectly comfortable. Singapore Air may transition some flights to the Boeing 787, and many suggest the 3-3-3 economy seating is a nightmare for economy travellers.",A330-300,Family Leisure,Economy Class,Singapore to Taipei,2018-04-01,4.0,4.0,4.0,4.0,4.0,4,yes,Singapore,Taipei,singapore airlines
"""would recommend the product""",9.0,Filippo Bertoni,2018-04-10,"✅ Trip Verified |  Singapore to Tokyo Haneda and Tokyo Narita to Singapore. A350 on the way there, 777-300ER on the way back to Singapore. Latest business class product on both segments. Seat is large and very good – plenty of privacy, storage options and reading lights. There is only one con: space for legs/feet is very limited when seat is fully down, which is kind of annoying. Mattress is also not the softest. Blanket and pillows provided are of very high quality. No amenity kit provided. Personal TV has a big high-resolution screen with a broad selection of movies and channels to keep you busy. Service was really good, proactive and with a smile – that’s where Singapore Airlines shines the most in my opinion. Room for improvement is the food. Meals selection is quite good (including the Book the Cook option) but the meal quality is inferior to other airlines in Business (see Turkish Airlines or Qatar). Good champagne and extensive selection of beverages available upon request. Note of merit for the chamomile served along with pastries & chocolates selection. First flight on-time. Return flight delayed of 40 minutes due to the delayed incoming aircraft on the Los Angeles – Tokyo Narita segment. Overall, would recommend the product and will fly again.",A350 / Boeing 777-300ER,Business,Business Class,Singapore to Tokyo Haneda,2018-04-01,3.0,5.0,4.0,5.0,3.0,4,yes,Singapore,Tokyo Haneda,singapore airlines
"""at best a poor outcome from SQ""",2.0,J Straw,2018-04-05,"✅ Trip Verified | As Bi-annual visitors to Thailand, by recommendation, we went with SQ for a change having heard great things about Changi airport. This time we took our adult daughter too - 'the shopper'. Unfortunately, all we saw of Changi was what we saw while running through the terminal, owing to our first connecting flight being delayed, then our second going tek and requiring us to change aircraft many hours later than our departure time. We were handed forms at the departure gate and an invitation to contact Singapore Airlines for future incentives. Infact, what we got in reply, months later, was in short: 'Safety first; we don't compensate for delays or connections - if missed' (all our flights were SQ). Tough luck. Therefore our experience of SQ is one we wouldn't recommend and as they state, they wash their hands of you if you miss a connection even in the event that connecting flights are both SQ. As a former employee of a British airline operating the very same aircraft I feel I have enough experience to say this is at best a poor outcome from SQ. On a positive note, they make it easy to decide who not to spend your time airborne with. Also, my wife is gluten free, although requested, she had to skip some meals because they didn't have the gf option for her.",Boeing 773,Family Leisure,Economy Class,London Heathrow to Phuket via Singapore,2018-02-01,4.0,3.0,1.0,3.0,1.0,2,no,London Heathrow,Phuket ,singapore airlines
"""enjoyed the overall experience""",7.0,Chris Wood,2018-04-01,"✅ Trip Verified |  London Heathrow to Sydney via Singapore. Both myself and my wife enjoyed the overall experience, responsive flight attendants and very friendly. Our only real complaint is the food which we found to be rather unappetising and repetitive, perhaps a few European or English dishes would be a refreshing change and certainly more welcoming to our palate.",A380,Couple Leisure,Economy Class,London Heathrow to Sydney via Singapore,2018-03-01,3.0,4.0,2.0,4.0,4.0,4,no,London Heathrow,Sydney ,singapore airlines
"""Service remains 5-star""",9.0,D Gerscher,2018-03-31,"✅ Trip Verified |  Paris to Singapore return in seat 41B (seat with more space against extra fee). Service remains 5-star, food, onboard service and entertainment, boarding. Have flown several times on this airline in the past in economy class. Boarding on both flights were swift and smooth with clear instructions from airline staff. Choice of food adequate with sandwiches/refreshment available outside of main meal distribution. On the return leg, the breakfast offering was adequate but not available due to short supply on board. I was forced to take noodles as breakfast while preference was for other dish. Boeing 777 seats are of good quality, only drawback is that seat cushion is quite short for a tall person with long legs and the screen is slightly far away from the seat. Movie offering is very extended with quite some recent movies in different languages. (A380 is more comfortable). Seats 41A & B are best, avoid 41C which passenger was hit all the time by transiting galleys As usual Changi airport is fabulous airport even with a transit time of 4 hours with next connection: gardens, swimming pool, butterfly and movie area is unique, European airports should learn and copy.",Boeing 777,Couple Leisure,Economy Class,Paris to Singapore,2018-03-01,4.0,5.0,4.0,5.0,5.0,5,yes,Paris,Singapore,singapore airlines
"""seats were really comfortable""",10.0,E Elliott,2018-03-26,✅ Trip Verified | Another great flight from Singapore to London. Me and my wife were sat in the upper economy deck which was great! The seats were really comfortable and the service was just as good as my last trip. The food was really good and a great selection of films. I’m so glad I’ve booked with Singapore Airlines for my next long haul trip.,A380,Couple Leisure,Economy Class,Singapore to London,2018-03-01,5.0,5.0,5.0,5.0,5.0,5,yes,Singapore,London,singapore airlines
"""breakfast was served very late""",4.0,R Neale,2018-03-23,"✅ Trip Verified |  Sydney to London via Singapore. The seats in business class are awkward, to use the lie flat seat it is necessary to lie at an angle, and because of this it feels cramped. We left Sydney at 7.05 in the evening, and had the on board meal at approximately 8.00 pm, there was a choice and it was perfectly adequate. The flight to Singapore takes 7.15 hrs, there was a 1 hour change over of planes. After take off we were offered dinner again, which having already had an evening meal I passed. The flight to London from Singapore takes 14 hrs 35 mins. Breakfast is not available until 2 hrs before landing. It was served very late. I think the stewards should be aware of passengers who have been on the flights for 22-23 hrs, and be prepared to offer breakfast much earlier. We will not be travelling Singapore airlines again.",Boeing 777,Couple Leisure,Business Class,Sydney to London  via Singapore,2018-03-01,2.0,2.0,3.0,5.0,3.0,2,no,Sydney,London  ,singapore airlines
"""economy class has declined""",5.0,B Deane,2018-03-22,"✅ Trip Verified |  San Francisco to Bangalore via Singapore. I have been flying Singapore Airlines for the past thirty years. I have noticed a visible degradation in the quality of service over the years.  Ever since the introduction of the Premium Economy class, the quality of the service in the economy class has declined. The flight attendants go about their tasks mechanically, with little or no interaction with passengers. The food is mostly inedible. During my most recent flight, I opted for the Dim Sum breakfast between Hong Kong and San Francisco. The soggy, mushy items had no resemblance to Dim Sum items I have had anywhere. While US airlines such as Delta and United have vastly improved service for economy travelers, Singapore appears to be goading their economy passengers to upgrade to the significantly more expensive Premium Economy class. However, it is very hard for me to justify spending an additional $1000 just to get two upgraded meals and a slightly larger TV screen.",A350 / Boeing 777,Couple Leisure,Economy Class,San Francisco to Bangalore via Singapore,2018-03-01,3.0,1.0,1.0,2.0,4.0,3,no,San Francisco,Bangalore ,singapore airlines
"""experience no better than average""",2.0,D Bordan,2018-03-19,"✅ Trip Verified |  Frankfurt to Singapore. The flight attendants are some of the nit-pickiest I've ever seen. My crime was sleeping during the pre-flight video. The experience was no better than average. The food wasn't special, the premium economy seat was a premium economy seat. It got worse on the way back when we stopped at the Star Gold lounge to discover what is the worse Gold lounge I've ever been to. It felt more like a private waiting area than a lounge, it doesn't even have its own bathrooms. Singapore is doing the bare minimum to provide the benefits as part of Star Alliance.  Lufthansa gained a star - maybe Singapore needs to lose one.",Boeing 777-300,Couple Leisure,Premium Economy,Frankfurt to Singapore,2018-03-01,3.0,2.0,3.0,4.0,1.0,1,no,Frankfurt,Singapore,singapore airlines
"""very courteous and helpful""",10.0,Eugene Tan,2018-03-16,"✅ Trip Verified | Flew Singapore Airlines from Singapore to Bandar Seri Begawan. As usual, excellent service onboard. Very professional service crew and very courteous and helpful. Saw many of them helping passengers with their requests such as blankets, baggage, newspapers. The food is also good and sufficient. The choice of movies were great though I wished the plane was equipped with the newer wider screens.",Boeing 777,Business,Economy Class,Singapore to Bandar Seri Begawan ,2018-03-01,5.0,5.0,5.0,5.0,5.0,5,yes,Singapore,Bandar Seri Begawan ,singapore airlines
"""staff were friendly and professional""",9.0,C Hoffmann,2018-03-15,"✅ Trip Verified | First time flying on the A350 and it makes the flight from Munich to Singapore considerably more comfortable than on the 777. As usual Singapore Airlines staff were friendly and professional, as we were traveling with a toddler, we were invited to board first and get ourselves settled. Stewardess came by to check if we needed anything for our daughter and if we would like our meals at different times. Seats were comfortable, row 41, which has the advantage of lots of leg room but has fixed armrests which hems you in a bit. There is an extensive selection of movies which will keep most people entertained for a flight longer than the 11 hours we had. SQ is saving money a bit with the food portions getting smaller but flavour and quality were still there. A350 is quiet and the lower cabin preasure is noticeable in that you arrived refreshed even after the long flight, I even managed a few hours sleep. Flight departed a bit late but arrived 30 min ahead of schedule. Once again Singapore Airlines is a great way to fly.",A350-900,Family Leisure,Economy Class,Munich to Singapore,2018-02-01,4.0,5.0,4.0,5.0,5.0,4,yes,Munich,Singapore,singapore airlines
"""Neat, clean and comfortable""",9.0,Nadarajan Pillay,2018-03-14,"✅ Trip Verified | Johannesburg to Shanghai via Singapore. I always travel business class (though first time on SIA fleet) and conclude that Singapore Airlines is the best. The aircraft are up to date and so are the facilities. Neat, clean and comfortable. But, it is the staff that take the airline to the next level - courteous, friendly, helpful and efficient especially the cabin crew on flights SQ 479, JHB to Singapore, 10 Feb and SQ 478, Shanghai to Singapore, 28 Feb 2018.",A350-900 / A380-800 / Boeing 777-300ER,Couple Leisure,Business Class,Johannesburg to Shanghai via Singapore,2018-02-01,5.0,5.0,4.0,5.0,5.0,5,yes,Johannesburg,Shanghai ,singapore airlines
"""super comfortable and very wide""",7.0,M Lawson,2018-03-07,"✅ Trip Verified |  Melbourne to Singapore leg flown on Boeing 777 with outdated cabin.  Seat was hard and thin, food  of average quality. Cabin staff spoke quietly. Return flight was on a Boeing 777 with newer cabin. Seats were excellent, they fold down from the back so the bed is on the back of the seat. A bit of fussing around to set it up but super comfortable and very wide. But it needs to be wide as someone 181cm tall still needs to lie on an angle, as the foot cubby-hole is not in line with the seat centre-line. ",Boeing 777,Business,Business Class,Melbourne to Ahmedabad via Singapore,2018-01-01,2.0,3.0,3.0,3.0,2.0,4,yes,Melbourne,Ahmedabad ,singapore airlines
"""staff are actually genuinely friendly""",10.0,E Edmond,2018-03-06,"✅ Trip Verified | Flew London Heathrow to Singapore. First time I have flown with Singapore Airlines and it was an eye opener. The staff are actually genuinely friendly and the service and products are excellent. Lots of legroom, great entertainment and really good food and drinks. During the flight they kept coming round with more drinks and more food offerings. Great flight and will fly with them again.",Boeing 777-300 ER,Couple Leisure,Economy Class,London Heathrow to Singapore,2018-03-01,5.0,5.0,5.0,5.0,5.0,5,yes,London Heathrow,Singapore,singapore airlines
"""crew greeted the passengers with a smile""",8.0,B King,2018-03-03,"✅ Trip Verified | Flew Perth to Singapore with Singapore Airlines. Check in was quick and smooth. The boarding was orderly and the crew greeted the passengers with a smile. Found a pillow and blanket on my seat. The seat and leg room was average. No footrests but liked the flexible adjustable headrests. Flight left only a few minutes late from the scheduled take off. Shortly after take off the crew came out with hot towels, snacks, drinks and food menu. There were enough alcoholic drinks to choose from. I got myself a Tiger beer but I had to ask for second beer, would have preferred if the crew had offered. Food was fresh and tasted great, didn't taste like airline food at all. There was salmon with coleslaw, crackers and cheese, bread roll and butter along with 2 choices of main course. My Asian beef curry was delicious. For dessert we had fresh fruit salad and gelato. The best meal I have had on a flight and this was all in economy class. The let down was the IFE. The screens were small and had poor resolution, no touchscreen either. The headphone jack was fiddly, I was using my personal headphones but occasionally I would lose sound in either left or right channel. I watched Dunkirk (2017), which was good. On arrival the luggage arrived quickly and without any damage. Overall a good flight but was disappointed with IFE. The ticket was also expensive compared with other airlines.",Boeing 777-200,Solo Leisure,Economy Class,Perth to Singapore,2018-01-01,4.0,4.0,5.0,3.0,5.0,4,yes,Perth,Singapore,singapore airlines
"""how business class should be done""",10.0,P Beale,2018-02-27,"✅ Trip Verified |  Singapore to Brisbane. A great example of how business class should be done. Practically a brand new aircraft which features the latest Singapore business seats. The 1-2-1 configuration is perfect for privacy and easy aisle access. In my opinion, the hard product that Singapore offers, as well as the crew is what makes them stand out from the rest. The seat and entertainment system are great - and the seat converts to a reasonably comfortable bed. For a bit of extra room, I'd recommend the first row (Row 11) of business as there is a bit more leg space. Food was good and as I had ordered book the cook, my choice was already taken care of and served promptly after takeoff. Wine selection was good and my glass was never empty. The A350 features inflight wifi and Singapore now offers 30Mb for free to business class passengers which worked well for me and provided just enough to check emails a few times during the flight. The standout was the exceptional level of service provided by the crew. Business class was fairly empty (only 10 seats occupied on this flight), but as it was an overnight flight, it would have been very easy for the crew to disappear. However, the service was constant without being ""in your face."" A great experience with Singapore, and the A350 certainly makes travel very pleasant.",A350,Solo Leisure,Business Class,Singapore to Brisbane,2018-02-01,5.0,5.0,5.0,5.0,5.0,5,yes,Singapore,Brisbane,singapore airlines
"""Hope it improves on the return""",7.0,F Cooper,2018-02-26,"✅ Trip Verified | Flew Singapore Airlines from Singapore to Auckland. Disappointed firstly we were only given one glass of champagne, not duplicates as advertised. Secondly we chose meals via Book the Chef and we had finished our meals before we were offered wine and then only a small glass supplied. We were offered no snacks and the curtain was drawn very quickly and passengers were quickly sent to the rear of the aircraft if they entered the curtain wall. This was in complete contrast to the flight from London to Singapore which was superb. We were offered champagne top up and crew could not be more helpful. Hope it improves on the return!",A380,Couple Leisure,Premium Economy,Singapore to Auckland,2018-02-01,4.0,2.0,2.0,4.0,4.0,4,yes,Singapore,Auckland,singapore airlines
